Comment,Designator,Footprint,LCSC
Q_NMOS_GSD,Q1,SOT-23-3,
Conn_01x02,J7,PinHeader_1x02_P2.54mm_Vertical,
8MHz,Y1,Crystal_HC18-U_Vertical,
AMS1117-3.3,U2,SOT-223-3_TabPin2,
STM32F103C8Tx,U1,LQFP-48_7x7mm_P0.5mm,
10K,R14,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10K,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Q_NMOS_GSD,Q10,SOT-23-3,
Q_NMOS_GSD,Q9,SOT-23-3,
Q_NMOS_GSD,Q8,SOT-23-3,
Q_NMOS_GSD,Q7,SOT-23-3,
Q_NMOS_GSD,Q6,SOT-23-3,
Q_NMOS_GSD,Q5,SOT-23-3,
Q_NMOS_GSD,Q4,SOT-23-3,
Q_NMOS_GSD,Q3,SOT-23-3,
Q_NMOS_GSD,Q2,SOT-23-3,
Conn_01x02,J6,PinHeader_1x02_P1.27mm_Vertical,
Conn_01x02,J5,PinHeader_1x02_P1.27mm_Vertical,
Conn_01x02,J4,PinHeader_1x02_P1.27mm_Vertical,
Conn_01x04,J3,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x11,J2,PinHeader_1x11_P2.54mm_Vertical,
100nF,C22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100nF,C20,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100nF,C19,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
20p,C18,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
20p,C17,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100nF,C16,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
470uF,C14,CP_Radial_D5.0mm_P2.50mm,
100nF,C13,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x02,J9,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x12,J8,PinHeader_1x12_P2.54mm_Vertical,
