Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C13,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.622,-73.406,0.0,top
C14,470uF,CP_Radial_D5.0mm_P2.50mm,164.084,-71.374,90.0,top
C16,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,167.132,-67.056,180.0,top
C17,20p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.86,-55.626,-90.0,top
C18,20p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.86,-60.452,-90.0,top
C19,100nF,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.734,-61.214,90.0,top
C20,100nF,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,162.052,-53.34,0.0,top
C22,100nF,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,170.688,-56.134,180.0,top
J2,Conn_01x11,PinHeader_1x11_P2.54mm_Vertical,186.436,-73.152,90.0,top
J3,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,164.348,-50.292,-90.0,top
J4,Conn_01x02,PinHeader_1x02_P1.27mm_Vertical,158.384,-53.848,90.0,top
J5,Conn_01x02,PinHeader_1x02_P1.27mm_Vertical,170.942,-53.848,-90.0,top
J6,Conn_01x02,PinHeader_1x02_P1.27mm_Vertical,168.656,-69.596,-90.0,top
J7,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,150.876,-69.088,180.0,top
J8,Conn_01x12,PinHeader_1x12_P2.54mm_Vertical,189.489,-57.404,90.0,top
J9,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,155.448,-50.292,-90.0,top
Q1,Q_NMOS_GSD,SOT-23-3,175.514,-63.754,-90.0,top
Q2,Q_NMOS_GSD,SOT-23-3,173.802,-67.9285,-90.0,top
Q3,Q_NMOS_GSD,SOT-23-3,180.66,-61.8435,-90.0,top
Q4,Q_NMOS_GSD,SOT-23-3,180.594,-67.9285,-90.0,top
Q5,Q_NMOS_GSD,SOT-23-3,187.264,-61.8435,-90.0,top
Q6,Q_NMOS_GSD,SOT-23-3,187.198,-67.9395,-90.0,top
Q7,Q_NMOS_GSD,SOT-23-3,193.614,-61.8435,-90.0,top
Q8,Q_NMOS_GSD,SOT-23-3,193.614,-67.9395,-90.0,top
Q9,Q_NMOS_GSD,SOT-23-3,199.964,-61.8435,-90.0,top
Q10,Q_NMOS_GSD,SOT-23-3,199.964,-67.9395,-90.0,top
R2,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,178.054,-64.008,-90.0,top
R3,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,176.408,-68.315,-90.0,top
R4,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,183.2,-62.219,-90.0,top
R5,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,183.2,-68.315,-90.0,top
R6,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,189.804,-62.219,-90.0,top
R7,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,189.804,-68.315,-90.0,top
R8,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,196.154,-62.219,-90.0,top
R9,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,196.22,-68.315,-90.0,top
R10,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,202.57,-62.219,-90.0,top
R11,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,202.57,-68.315,-90.0,top
R12,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.988,-56.134,180.0,top
R13,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,166.878,-53.34,0.0,top
R14,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,163.068,-67.056,180.0,top
U1,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,164.592,-60.202,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,157.466,-70.358,-90.0,top
Y1,8MHz,Crystal_HC18-U_Vertical,153.416,-58.166,90.0,top
